State,STEM Rate
Alabama,4.0
Alaska,4.6
Arizona,5.1
Arkansas,2.8
California,5.8
Colorado,6.8
Connecticut,4.8
Delaware,5.4
District of Columbia,10.2
Florida,3.4
Georgia,4.3
Hawaii,3.4
Idaho,4.2
Illinois,4.1
Indiana,3.6
Iowa,3.5
Kansas,3.7
Kentucky,3.0
Louisiana,2.6
Maine,3.3
Maryland,7.4
Massachusetts,6.9
Michigan,5.4
Minnesota,5.1
Mississippi,2.3
Missouri,4.0
Montana,3.5
Nebraska,3.8
Nevada,2.3
New Hampshire,4.5
New Jersey,4.9
New Mexico,4.6
New York,4.0
North Carolina,4.5
North Dakota,2.9
Ohio,4.2
Oklahoma,3.4
Oregon,4.8
Pennsylvania,4.4
Rhode Island,4.6
South Carolina,3.6
South Dakota,3.2
Tennessee,3.2
Texas,4.8
Utah,4.9
Vermont,4.4
Virginia,7.5
Washington,7.2
West Virginia,2.8
Wisconsin,4.1
Wyoming,3.2
,
,
,
